Rk,Player,School,Year,Pos,Pos Rk,HT,WT,,
1,Fernando Mendoza,Indiana,Jr,QB,1,5-Jun,225,,
2,Rueben Bain Jr.,Miami (Fla.),Jr,EDGE,1,3-Jun,270,,
3,Arvell Reese,Ohio State,Jr,EDGE,2,4-Jun,243,,
4,Kadyn Proctor,Alabama,Jr,OT,1,7-Jun,366,,
5,Spencer Fano,Utah,Jr,OT,2,6-Jun,308,,
6,Jordyn Tyson,Arizona St.,Jr,WR,1,2-Jun,200,,
7,Caleb Downs,Ohio State,Jr,S,1,Jun-00,205,,
8,Carnell Tate,Ohio State,Jr,WR,2,3-Jun,195,,
9,Jermod McCoy,Tennessee,Jr,CB,1,Jun-00,193,,
10,Sonny Styles,Ohio State,Sr,LB,1,5-Jun,243,,
11,Avieon Terrell,Clemson,Jr,CB,2,11-May,180,,
12,Mansoor Delane,LSU,Sr,CB,3,Jun-00,190,,
13,Peter Woods,Clemson,Jr,DL,1,3-Jun,310,,
14,Caleb Lomu,Utah,Soph,OT,3,6-Jun,308,,
15,Olaivavega Ioane,Penn State,Jr,IOL,1,4-Jun,323,,
16,Jeremiyah Love,Notre Dame,Jr,RB,1,Jun-00,214,,
17,Omar Cooper Jr.,Indiana,Jr,WR,3,Jun-00,204,,
18,Makai Lemon,USC,Jr,WR,4,11-May,195,,
19,David Bailey,Texas Tech,Sr,EDGE,3,3-Jun,250,,
20,Francis Mauigoa,Miami (Fla.),Jr,OT,4,6-Jun,335,,
21,Lee Hunter,Texas Tech,Sr,DL,2,4-Jun,330,,
22,Blake Miller,Clemson,Sr,OT,5,6-Jun,315,,
23,Max Iheanachor,Arizona St.,Sr,OT,6,6-Jun,330,,
24,Cashius Howell,Texas A&M,Sr,EDGE,4,2-Jun,248,,
25,Kayden McDonald,Ohio State,Jr,DL,3,3-Jun,326,,
26,Akheem Mesidor,Miami (Fla.),Sr,DL,4,3-Jun,265,,
27,Keldric Faulk,Auburn,Jr,EDGE,5,6-Jun,285,,
28,Emmanuel McNeil-Warren,Toledo,Sr,S,2,2-Jun,202,,
29,Kenyon Sadiq,Oregon,Jr,TE,1,3-Jun,245,,
30,Anthony Hill Jr.,Texas,Jr,LB,2,3-Jun,238,,
31,KC Concepcion,Texas A&M,Jr,WR,5,11-May,190,,
32,Jake Golday,Cincinnati,Sr,LB,3,4-Jun,240,,
33,Ty Simpson,Alabama,Jr,QB,2,2-Jun,208,,
34,Denzel Boston,Washington,Jr,WR,6,4-Jun,210,,
35,Dillon Thieneman,Oregon,Soph,S,3,Jun-00,207,,
36,Josiah Trotter,Missouri,Soph,LB,4,2-Jun,237,,
37,Colton Hood,Tennessee,Soph,CB,4,Jun-00,195,,
38,CJ Allen,Georgia,Jr,LB,5,1-Jun,235,,
39,Christen Miller,Georgia,Jr,DL,5,4-Jun,310,,
40,Keith Abney II,Arizona St.,Jr,CB,5,Jun-00,190,,
41,R Mason Thomas,Oklahoma,Sr,DL,6,2-Jun,249,,
42,Connor Lew,Auburn,Jr,IOL,2,3-Jun,303,,
43,Chris Johnson,San Diego St.,Sr,CB,6,Jun-00,195,,
44,Germie Bernard,Alabama,Sr,WR,7,1-Jun,204,,
45,Trey Zuhn III,Texas A&M,Sr,IOL,3,6-Jun,319,,
46,Caleb Banks,Florida,Sr,DL,7,5-Jun,330,,
47,D'Angelo Ponds,Indiana,Jr,CB,7,9-May,173,,
48,Brenen Thompson,Miss. State,Sr,WR,8,9-May,170,,
49,T.J. Parker,Clemson,Jr,EDGE,6,3-Jun,260,,
50,Chase Bisontis,Texas A&M,Jr,IOL,4,5-Jun,315,,
51,Emmanuel Pregnon,Oregon,Sr,IOL,5,5-Jun,318,,
52,Monroe Freeling,Georgia,Jr,OT,7,7-Jun,315,,
53,Keionte Scott,Miami (Fla.),Sr,S,4,Jun-00,195,,
54,Anthony Lucas,USC,Sr,EDGE,7,5-Jun,285,,
55,Kyle Louis,Pittsburgh,Jr,LB,6,1-Jun,220,,
56,Genesis Smith,Arizona,Jr,S,5,2-Jun,204,,
57,Jadarian Price,Notre Dame,Jr,RB,2,11-May,210,,
58,Malachi Lawrence,UCF,Sr,LB,7,4-Jun,260,,
59,Zachariah Branch,Georgia,Jr,WR,9,10-May,180,,
60,Caleb Tiernan,Northwestern,Sr,OT,8,7-Jun,325,,
61,Brandon Cisse,South Carolina,Jr,CB,8,Jun-00,190,,
62,Chris Brazzell II,Tennessee,Jr,WR,10,5-Jun,200,,
63,A.J. Haulcy,LSU,Sr,S,6,Jun-00,222,,
64,Malachi Fields,Notre Dame,Sr,WR,11,4-Jun,222,,
65,Jaishawn Barham,Michigan,Sr,LB,8,3-Jun,243,,
66,Gabe Jacas,Illinois,Sr,EDGE,8,3-Jun,270,,
67,Michael Trigg,Baylor,Sr,TE,2,4-Jun,240,,
68,Eli Stowers,Vanderbilt,Sr,TE,3,4-Jun,235,,
69,Eric McAlister,TCU,Sr,WR,12,3-Jun,205,,
70,Kage Casey,Boise St.,Jr,IOL,6,5-Jun,311,,
71,Treydan Stukes,Arizona,Sr,CB,9,2-Jun,200,,
72,Chris McClellan,Missouri,Sr,DL,8,4-Jun,323,,
73,Joshua Josephs,Tennessee,Sr,EDGE,9,3-Jun,240,,
74,Devin Moore,Florida,Sr,DB,1,2-Jun,198,,
75,Carver Willis,Washington,Sr,IOL,7,5-Jun,312,,
76,Zion Young,Missouri,Sr,EDGE,10,5-Jun,262,,
77,Romello Height,Texas Tech,Sr,EDGE,11,3-Jun,240,,
78,Gennings Dunker,Iowa,Sr,IOL,8,5-Jun,315,,
79,Julian Neal,Arkansas,Sr,CB,10,2-Jun,208,,
80,Rayshaun Benny,Michigan,Sr,DL,9,4-Jun,305,,
81,Antonio Williams,Clemson,Jr,WR,13,11-May,190,,
82,Elijah Sarratt,Indiana,Sr,WR,14,2-Jun,213,,
83,Jacob Rodriguez,Texas Tech,Sr,LB,9,1-Jun,235,,
84,Nate Boerkircher,Texas A&M,Sr,TE,4,4-Jun,250,,
85,Billy Schrauth,Notre Dame,Jr,OL,1,4-Jun,310,,
86,Austin Barber,Florida,Sr,OT,9,6-Jun,314,,
87,Domonique Orange,Iowa St.,Sr,DL,10,4-Jun,325,,
88,Max Klare,Ohio State,Jr,TE,5,5-Jun,243,,
89,Keyron Crawford,Auburn,Sr,LB,10,4-Jun,255,,
90,Alex Harkey,Oregon,Sr,IOL,9,6-Jun,327,,
91,Dontay Corleone,Cincinnati,Sr,DL,11,1-Jun,335,,
92,Ethan Burke,Texas,Sr,EDGE,12,6-Jun,259,,
93,Cole Payton,N. Dakota St.,Sr,QB,3,3-Jun,233,,
94,Nick Barrett,South Carolina,Sr,DL,12,3-Jun,322,,
95,Zakee Wheatley,Penn State,Sr,S,7,2-Jun,202,,
96,Kamari Ramsey,USC,Jr,S,8,Jun-00,205,,
97,Parker Brailsford,Alabama,Jr,IOL,10,2-Jun,290,,
98,Derrick Moore,Michigan,Sr,LB,11,3-Jun,260,,
99,Will Lee III,Texas A&M,Sr,CB,11,1-Jun,189,,
100,Garrett Nussmeier,LSU,Sr,QB,4,1-Jun,205,,
101,Keylan Rutledge,Georgia Tech,Sr,IOL,11,4-Jun,330,,
102,Chris Bell,Louisville,Sr,WR,15,2-Jun,220,,
103,Darrell Jackson Jr.,Florida State,Sr,DL,13,5-Jun,337,,
104,Josh Cuevas,Alabama,Sr,TE,6,3-Jun,256,,
105,Dani Dennis-Sutton,Penn State,Sr,EDGE,13,5-Jun,265,,
106,Kevin Coleman Jr.,Missouri,Sr,WR,16,11-May,180,,
107,Jack Endries,Texas,Jr,TE,7,4-Jun,236,,
108,Fa'alili Fa'amoe,Wake Forest,Sr,OL,2,5-Jun,317,,
109,Keagen Trost,Missouri,Sr,IOL,12,4-Jun,316,,
