position,player_name
1,Fernando Mendoza
2,David Bailey
3,Jeremiyah Love
4,Arvell Reese
5,Jordyn Tyson
6,Spencer Fano
7,Sonny Styles
8,Caleb Downs
9,Rueben Bain Jr.
10,Francis Mauigoa
11,Kadyn Proctor
12,Mansoor Delane
13,Carnell Tate
14,Kenyon Sadiq
15,Akheem Mesidor
16,Makai Lemon
17,Keldric Faulk
18,Peter Woods
19,Dillon Thieneman
20,Malachi Lawrence
21,Blake Miller
22,Olaivavega Ioane
23,Monroe Freeling
24,Denzel Boston
25,T.J. Parker
26,CJ Allen
27,Caleb Lomu
28,Kayden McDonald
29,Colton Hood
30,Chris Johnson
31,Max Iheanachor
32,Ty Simpson
