position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Sonny Styles
5,Jeremiyah Love
6,Carnell Tate
7,Caleb Downs
8,Rueben Bain Jr.
9,Francis Mauigoa
10,Jordyn Tyson
11,Mansoor Delane
12,Dillon Thieneman
13,Makai Lemon
14,Spencer Fano
15,Olaivavega Ioane
16,Jermod McCoy
17,Kadyn Proctor
18,Peter Woods
19,Kenyon Sadiq
20,Colton Hood
21,Emmanuel McNeil-Warren
22,T.J. Parker
23,Monroe Freeling
24,Caleb Lomu
25,Akheem Mesidor
26,Keldric Faulk
27,Denzel Boston
28,Chase Bisontis
29,Avieon Terrell
30,Emmanuel Pregnon
31,Max Iheanachor
32,Jadarian Price
