position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Sonny Styles
5,Jeremiyah Love
6,Carnell Tate
7,Caleb Downs
8,Rueben Bain Jr.
9,Francis Mauigoa
10,Jordyn Tyson
11,Mansoor Delane
12,Jermod McCoy
13,Makai Lemon
14,Olaivavega Ioane
15,Kenyon Sadiq
16,Omar Cooper Jr.
17,Monroe Freeling
18,Dillon Thieneman
19,Spencer Fano
20,Akheem Mesidor
21,Kadyn Proctor
22,Peter Woods
23,Blake Miller
24,Caleb Lomu
25,Zion Young
26,Keldric Faulk
27,Max Iheanachor
28,T.J. Parker
29,Colton Hood
30,KC Concepcion
31,Kayden McDonald
32,Denzel Boston
