position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Sonny Styles
5,Jeremiyah Love
6,Spencer Fano
7,Jordyn Tyson
8,Francis Mauigoa
9,Mansoor Delane
10,Carnell Tate
11,Rueben Bain Jr.
12,Caleb Downs
13,Makai Lemon
14,Kenyon Sadiq
15,Kadyn Proctor
16,Omar Cooper Jr.
17,Monroe Freeling
18,Colton Hood
19,Dillon Thieneman
20,Malachi Lawrence
21,Blake Miller
22,Olaivavega Ioane
23,Akheem Mesidor
24,KC Concepcion
25,Keldric Faulk
26,Ty Simpson
27,Denzel Boston
28,Max Iheanachor
29,Treydan Stukes
30,Caleb Lomu
31,Chris Johnson
32,Peter Woods
