position,player_name
1,Fernando Mendoza
2,Arvell Reese
3,David Bailey
4,Rueben Bain Jr.
5,Francis Mauigoa
6,Spencer Fano
7,Sonny Styles
8,Jeremiyah Love
9,Kenyon Sadiq
10,Caleb Downs
11,Carnell Tate
12,Keldric Faulk
13,Mansoor Delane
14,Vega Ioane
15,Akheem Mesidor
16,Peter Woods
17,T.J. Parker
18,Dillon Thieneman
19,Caleb Banks
20,Colton Hood
21,Jordyn Tyson
22,Kadyn Proctor
23,Denzel Boston
24,Makai Lemon
25,Monroe Freeling
26,Emmanuel McNeil-Warren
27,Kayden McDonald
28,Caleb Lomu
29,Brandon Cisse
30,Anthony Hill Jr.
31,KC Concepcion
32,Avieon Terrell
