position,player_name
1,Fernando Mendoza
2,Arvell Reese
3,Jeremiyah Love
4,Francis Mauigoa
5,David Bailey
6,Spencer Fano
7,Sonny Styles
8,Carnell Tate
9,Mansoor Delane
10,Jordyn Tyson
11,Caleb Downs
12,Rueben Bain Jr.
13,Makai Lemon
14,Vega Ioane
15,Akheem Mesidor
16,Jermod McCoy
17,Kadyn Proctor
18,Dillon Thieneman
19,Kenyon Sadiq
20,Emmanuel McNeil-Warren
21,Omar Cooper Jr.
22,T.J. Parker
23,Blake Miller
24,Denzel Boston
25,Monroe Freeling
26,Ty Simpson
27,Caleb Lomu
28,Kayden McDonald
29,Keldric Faulk
30,Chris Johnson
31,Cashius Howell
32,Jadarian Price
