position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Sonny Styles
5,Jeremiyah Love
6,Kadyn Proctor
7,Mansoor Delane
8,Rueben Bain Jr.
9,Jordyn Tyson
10,Francis Mauigoa
11,Spencer Fano
12,Caleb Downs
13,Ty Simpson
14,Olaivavega Ioane
15,Monroe Freeling
16,Carnell Tate
17,Blake Miller
18,Peter Woods
19,Dillon Thieneman
20,Akheem Mesidor
21,Max Iheanachor
22,Kayden McDonald
23,Kenyon Sadiq
24,Makai Lemon
25,Keldric Faulk
26,Omar Cooper Jr.
27,Caleb Lomu
28,T.J. Parker
29,Colton Hood
30,Denzel Boston
31,KC Concepcion
32,Chris Johnson
