position,player_name
1,Fernando Mendoza
2,Arvell Reese
3,Francis Mauigoa
4,Jeremiyah Love
5,Caleb Downs
6,Carnell Tate
7,Mansoor Delane
8,David Bailey
9,Rueben Bain Jr.
10,Sonny Styles
11,Makai Lemon
12,Jermod McCoy
13,Spencer Fano
14,Kenyon Sadiq
15,CJ Allen
16,Jordyn Tyson
17,Monroe Freeling
18,Dillon Thieneman
19,Olaivavega Ioane
20,Emmanuel McNeil-Warren
21,Kadyn Proctor
22,Cashius Howell
23,Akheem Mesidor
24,Brandon Cisse
25,Peter Woods
26,Omar Cooper Jr.
27,Caleb Lomu
28,Blake Miller
29,Avieon Terrell
30,Colton Hood
31,Caleb Banks
32,Keldric Faulk
