position,player_name
1,Fernando Mendoza
2,Arvell Reese
3,Francis Mauigoa
4,David Bailey
5,Sonny Styles
6,Carnell Tate
7,Jeremiyah Love
8,Mansoor Delane
9,Rueben Bain Jr.
10,Caleb Downs
11,Spencer Fano
12,Dillon Thieneman
13,Makai Lemon
14,Olaivavega Ioane
15,Jermod McCoy
16,Jordyn Tyson
17,Monroe Freeling
18,Kenyon Sadiq
19,Omar Cooper Jr.
20,Chris Johnson
21,KC Concepcion
22,Akheem Mesidor
23,Max Iheanachor
24,Blake Miller
25,T.J. Parker
26,Kayden McDonald
27,Malachi Lawrence
28,Kadyn Proctor
29,Colton Hood
30,Keldric Faulk
31,Cashius Howell
32,Chase Bisontis
