position,player_name
1,AJ Dybantsa
2,Cameron Boozer
3,Darryn Peterson
4,Caleb Wilson
5,Keaton Wagler
6,Mikel Brown Jr.
7,Darius Acuff Jr.
8,Kingston Flemings
9,Brayden Burries
10,Nate Ament
11,Aday Mara
12,Hannes Steinbach
13,Yaxel Lendeborg
14,Morez Johnson
15,Dailyn Swain
16,Ebuka Okorie
17,Cameron Carr
18,Labaron Philon Jr.
19,Christian Anderson
20,Allen Graves
21,Bennett Stirtz
22,Koa Peat
23,Meleek Thomas
24,Karim Lopez
25,Jayden Quaintance
26,Ryan Conwell
27,Chris Cenac Jr.
28,Sergio De Larrea
29,Henri Veesaar
30,Isaiah Evans
