position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Jeremiyah Love
5,Sonny Styles
6,Francis Mauigoa
7,Carnell Tate
8,Rueben Bain Jr.
9,Mansoor Delane
10,Caleb Downs
11,Spencer Fano
12,Dillon Thieneman
13,Makai Lemon
14,Vega Ioane
15,Keldric Faulk
16,Jordyn Tyson
17,Monroe Freeling
18,Jermod McCoy
19,Kenyon Sadiq
20,Akheem Mesidor
21,Kadyn Proctor
22,T.J. Parker
23,Blake Miller
24,KC Concepcion
25,Emmanuel McNeil-Warren
26,Kayden McDonald
27,Caleb Lomu
28,Max Iheanachor
29,Omar Cooper Jr.
30,Denzel Boston
31,Cashius Howell
32,Colton Hood
