position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Sonny Styles
5,Caleb Downs
6,Carnell Tate
7,Jeremiyah Love
8,Rueben Bain Jr.
9,Jordyn Tyson
10,Mansoor Delane
11,Francis Mauigoa
12,Jermod McCoy
13,Monroe Freeling
14,Spencer Fano
15,Akheem Mesidor
16,Makai Lemon
17,Kadyn Proctor
18,Dillon Thieneman
19,Kenyon Sadiq
20,R Mason Thomas
21,Olaivavega Ioane
22,Emmanuel McNeil-Warren
23,Omar Cooper Jr.
24,Caleb Lomu
25,Zion Young
26,Ty Simpson
27,Keldric Faulk
28,Peter Woods
29,Cashius Howell
30,KC Concepcion
31,Denzel Boston
32,Avieon Terrell
